排名,商户名,商区,口味分,环境分,服务分,人均消费,地址,电话
1,三江宴餐厅,亦庄,9.3,9.4,9.4,￥269,亦庄经济技术开发区荣华南路1号荣华天地B1(国锐金顶),010-53507766
2,王品台塑牛排(亦庄华联店),亦庄,9.3,9.4,9.4,￥359,经济技术开发区荣华中路8号院1号楼华联购物中心1层,010-52595450
3,彩虹湾精品餐厅,亦庄,9.1,9.4,9.1,￥107,荣华南路1号荣华天地1楼(荣京东街地铁站),010-53507788
4,老诚一锅(六里桥总店),六里桥/丽泽桥,9.3,9.4,9.4,￥74,六里桥太平桥西路华源一里3-4号楼底商,010-63482988  010-63489428
5,京兆尹 Kings Joy Beijing,雍和宫/地坛,9.1,9.4,9.2,￥458,五道营胡同2号(近雍和宫、国子监、孔庙、地坛公园),010-84048885
6,East东方红酒窖,大望路,8.9,9.4,9.2,￥181,高碑店乡半壁店村惠河南街1071号(近四惠),010-67399999
7,北京宴•总店,六里桥/丽泽桥,9.0,9.4,9.2,￥345,靛厂路3号(永辉超市东侧),010-88177777
8,水煮三国（香山店）,香山,9.2,9.4,9.2,￥64,香山买卖街58号B座(水煮三国餐厅大门在香山一棵松路),010-62861718
9,九街 9th Street,三里屯,9.1,9.4,9.1,￥106,工体西路，工人体育场西门外往北100米路东,010-56140416
10,和蜀香,亚运村,9.3,9.4,9.3,￥75,安立路与大屯北路交叉口四海凯悦休闲广场2F,010-64830600
11,TRB(Temple Restaurant Beijing),东四,8.9,9.4,9.4,￥609,沙滩北街23号(近五四大街),010-84002232
12,马奈草地·香汇新派粤菜,远大路,8.7,9.4,9.2,￥515,杏石口路6号(四季青桥西第二个红绿灯砖红色建筑),010-88450838  010-88450833
13,许鲜水果店(语言大学、矿业大学店),五道口,9.4,9.3,9.3,￥19,语言大学西门往北50米路西(近中国地质大学、中油海外研究中心),18500234023
14,滇草香云南原生态汤火锅(常营天街店),管庄,9.1,9.3,9.1,￥115,朝阳北路常营龙湖常营天街5楼-2,010-65455569
15,峰尚湘阅(万寿寺路),紫竹桥,9.2,9.3,9.2,￥64,万寿寺路93号(紫竹公园对面),010-68712707
16,藏么么火锅,双井,9.2,9.3,9.4,￥64,双井百环家园西门,010-59346288
17,大董(木樨园店),大红门,9.2,9.3,9.2,￥300,永外果园8号天雅国际服装城5楼(木樨园桥西南角),010-87861211  010-87861212
18,福临德海鲜火锅,中关村,9.1,9.3,9.2,￥106,中关村南三街6号中科资源大厦南楼1层(近融科资讯中心，中科院物理研究所，中科院声学研究所),010-56288333  010-56287333
19,汤城小厨(北京通州罗斯福店),九棵树,9.3,9.3,9.3,￥80,梨园镇九棵树中街9号—京通罗斯福广场(九棵树地铁),010-80556918  010-80556977
20,湘爱,亮马桥/三元桥,9.1,9.3,9.2,￥185,曙光西里甲5号院(三元桥地铁站 凤凰汇购物中心 西北角),010-58668358  010-58668339
21,罗兰湖餐厅,酒仙桥,8.5,9.3,9.1,￥161,芳园西路6号丽都公园内(近丽都饭店),010-64380881  010-64380877
22,洱海传奇,北新桥/簋街,9.2,9.3,9.3,￥137,北新桥香饵胡同6号(簋街),010-84084740
23,赵香兰南洋火锅铺(龙湖长楹天街店),常营,9.2,9.3,9.2,￥60,朝阳北路常营龙湖长楹天街西区五层(近连廊),010-65433648
24,湘与香缘（王府井店）,王府井/东单,9.2,9.3,9.3,￥52,王府井大街88号in88（原乐天银泰百货）五层(王府井教堂),4009962289  18873786327
25,大得涮肉(牡丹园店),北太平庄,9.1,9.3,9.1,￥91,龙翔路15号高德大厦向东200米(鸿翔大酒店旁边),010-84388668  010-84388438
26,花马天堂云南餐厅,前门,8.8,9.3,9.1,￥194,前门东大街23号G单元(近广场东侧路),010-85162698
27,九十九顶毡房(阜石路店),海淀区,9.3,9.3,9.2,￥168,阜石路临西五环晋元桥东南角(晋元桥向东下桥500米辅路南彩虹门内)(靠近锦绣大地商务在线),010-68166999  010-68291866
28,La Mezzaluna伴月意大利餐厅(亦庄店),亦庄,9.2,9.3,9.2,￥111,亦庄经济开发区林肯公园底商B区114(天华东路，平安银行南侧),010-87925227
29,北京金茂万丽酒店万丽轩,王府井/东单,9.0,9.3,9.2,￥161,王府井大街57号(首都剧场（人艺）对面),010-65208888
30,好牛烧肉专门店(北京佳艺广场店),亮马桥/三元桥,9.2,9.3,9.3,￥127,新源南路甲3号佳亿时尚广场三楼,010-67055757
31,健一公馆,朝阳公园/团结湖,8.6,9.3,9.1,￥815,道家园甲16号,010-51398739
32,那家小馆(大兴店),黄村,9.1,9.3,9.2,￥121,景明路8号院1号楼(高米店金星桥东北),010-80225292  010-80225293
33,乡味小厨 County Kitchen,朝阳区,8.9,9.3,9.2,￥265,呼家楼瑰丽酒店3楼(呼家楼地铁站D出口，渣打银行，朝阳剧场对面),010-65360085
34,HI辣火锅(望京店),望京,9.3,9.3,9.3,￥108,望京利泽西园314底商(望馨商业中心对面),010-64711148
35,锅炉烤肉房,什刹海,9.3,9.3,9.4,￥88,德胜门内大街弘善胡同20号,010-83288365
36,NUAGE CAFÉ 观云咖啡(远洋未来汇店),慈云寺/八里庄,8.5,9.3,9.1,￥58,慈云寺北里209号楼远洋未来汇购物中心1层(汤城小厨东侧)(近慈云寺桥),010-56098690
37,Bunny Drop(观湖店),朝阳公园/团结湖,8.9,9.3,9.1,￥74,东四环北路88号观湖国际二期东门（华章路北口）(华章路),010-59623196
38,王品台塑牛排(SKP新光天地店),大望路,9.2,9.3,9.3,￥361,建国路87号SKP新光天地6楼D6003室,010-57382595  010-57382596
39,王品台塑牛排(金宝汇店),王府井/东单,9.2,9.3,9.3,￥372,金宝街88号金宝汇6楼609号店铺(东单王府井),010-65256084  010-65256064
40,鸿袖会,大望路,8.9,9.3,9.1,￥188,光华路4号东方梅地亚B座5楼(近新中央电视台大楼,华贸中心),010-85597801  010-85597806
41,春记潮汕砂锅粥,良乡,9.2,9.3,9.2,￥67,良乡拱辰大街12号院(近蓝帆美容美发),010-69369960  13810058672
42,羊守一(月亮河店),新华大街,9.3,9.3,9.3,￥85,月亮河度假村内(近河滨路),010-89521969  18601374819
43,直樹怀石料理Naoki,颐和园,8.5,9.3,9.0,￥1455,颐和园宫门前街1号颐和安缦酒店内(近颐和园东宫门),59879999-7456
44,怡品堂(北京建国门店),建国门/北京站,9.0,9.3,9.0,￥106,北极阁路7号3层、2层,010-58037999  010-58037777
45,梅府家宴,什刹海,9.0,9.3,9.2,￥422,大翔凤胡同24号,010-66126845  010-66126847
46,九十九顶毡房,清河,9.2,9.3,9.2,￥188,东升乡马坊村永泰庄北路9号（北五环林萃桥北第四个红绿灯左转）(地铁8号线永泰庄站东北口800米),010-62991888  010-62995888
47,爱de蹄花,朝外大街,9.1,9.3,9.3,￥43,东大桥路8号尚都soho北塔四层2401(近朝外soho、世贸天阶、新城国际公寓、尚都国际中心、嘉里中心),4000825557
48,小辉哥火锅(王府井in88店),王府井/东单,9.1,9.3,9.1,￥130,王府井大街88号王府井银泰in88购物中心5F501(王府井新东安商场对面),010-59785887
49,海底捞火锅(顺义华联店),顺义区,9.2,9.3,9.3,￥104,新顺北大街华联商厦5楼,010-89465850
50,酉时,北新桥/簋街,9.0,9.3,9.3,￥133,东城区北新桥头条30号,010-64042668  13716328802
51,这火锅——时尚运动餐厅,王府井/东单,9.3,9.3,9.4,￥103,东城区 金宝街45号,010-63431777  010-63432777
52,曲水兰亭度假酒店自助餐洗浴,四惠,9.2,9.3,9.1,￥336,朝阳区高碑店乡通惠河畔文化产业园1070号曲水兰亭度假酒店内(近四惠建材市场),010-87796666  010-87796677
53,乌巢比萨主义主题餐厅(中粮祥云小镇店),国展,9.2,9.3,9.2,￥65,中粮祥云小镇8号楼109,010-60401866
54,Time Art 时艺汇,百子湾,9.1,9.3,9.2,￥141,百子湾沿海赛洛城有条斜街二条3-50商铺(近四惠地铁)(石门东路、沿海赛洛城、金都杭城、金泰先锋),010-57113368  010-57296678
55,许鲜水果店(理工大学店),魏公村,9.3,9.3,9.3,￥20,北理工校内兴福兴发菜市场B4号(近北京外国语大学、魏公村地铁站、北京友谊宾馆迎宾楼),18500234023
56,宴桃园餐厅(门头沟店),门头沟区,9.0,9.3,9.1,￥62,冯村华润置地puls365二楼207(好伦哥斜对面),010-60800980
57,大同江朝鲜料理,对外经贸,8.8,9.3,9.1,￥125,北土城东路元大都遗址公园6号(地铁惠新西街南口站C口东侧),010-85856700
58,TIAGO HOME KITCHEN(颐堤港店),酒仙桥,9.1,9.3,9.2,￥105,酒仙桥路18号颐堤港商场1层L173商铺(星巴克对面),010-64388772
59,蒙古往事,北太平庄,9.2,9.3,9.1,￥199,北三环街心花园玫瑰园内(马甸桥东北侧),010-62012898  010-62018878
60,许鲜水果店(魏公村店),魏公村,9.4,9.3,9.3,￥16,魏公街魏公村小学对面(近北京外国语大学，韦伯豪家园),18500234023
61,马仕玖煲,中关村,9.2,9.3,9.2,￥108,中关村大街文化大厦2楼(人民大学  当代商城斜对面),010-62511880  010-62512088
62,西甸三百食府,孙河,9.1,9.3,9.2,￥138,孙河顺黄路蓝莓采摘园内(北京院子南门向西500米右侧),010-84590300
63,重庆宰牛场老火锅,亚运村,9.3,9.3,9.3,￥78,安立路与大屯北路交叉口四海凯悦休闲广场2F(近马哥孛罗大酒店斜对面),010-64861391
64,脸谱港式火锅,朝阳公园/团结湖,9.0,9.3,8.9,￥241,东四环北路88号观湖国际2期东门,010-59283506
65,狮子林满族火锅,南锣鼓巷/鼓楼东大街,8.8,9.3,9.0,￥101,南锣鼓巷炒豆胡同57号(僧王府往东150米),010-64553601
66,四川仁火锅(方庄店),方庄,9.2,9.3,9.4,￥88,南方庄2号院2号楼北公建3楼A区(方庄桥西),010-87618788  010-87619388
67,特伊斯恋火炉披萨,四惠,9.2,9.3,9.3,￥81,地铁四惠站E出口金地名京商业街2层209(近距四惠站约215米),010-56238090
68,丽江庭院之午后阳光(朝内店),朝阳门,9.1,9.3,9.2,￥145,朝内南小街内务部街1号,010-65598848  010-65598893
69,果园西餐厅,马泉营,8.1,9.3,8.2,￥227,孙河路(近何各庄),010-64336270  13911211965
70,辉佐参鸡汤(王府井店),王府井/东单,9.2,9.3,9.3,￥68,王府井大街218号(王府井书店美食广场B1楼),010-65130095
71,Lelabo酒水实验室,南锣鼓巷/鼓楼东大街,9.2,9.3,9.3,￥114,南锣鼓巷菊儿胡同18号(印巷小馆对面),010-56542511  15810751322
72,潮捌捌味道,王府井/东单,9.0,9.3,9.1,￥63,王府井大街88号in88商场(原乐天银泰百货)北侧四层,010-59785102
73,梧桐,酒仙桥,8.9,9.3,9.1,￥272,霄云桥外芳园西路6号(近丽都花园南门),010-64381118  010-64388883
74,昆仑饭店顶峰俱乐部,亮马桥/三元桥,8.7,9.3,9.2,￥566,新源南路2号昆仑饭店29楼,65903388-5406  010-65903388
75,Buddy Viva 果木扒房,大望路,9.1,9.3,9.2,￥183,现代城西路中段(大望桥SOHO现代城西侧),010-85808880
76,兔爷(慈云寺店),慈云寺/八里庄,9.0,9.3,9.1,￥75,慈云寺北里209号楼远洋未来汇购物中心F座1层(住邦2000),010-56098696  010-56098698
